EEG Sample Number,EEG Sample Time (s),EEG Signal,Trigger
45637,55.74913400004152,5,
45638,55.75000930001261,5,
45639,55.7528284,5,
45640,55.75383540004259,6,
45641,55.75518330000341,6,
45642,55.75688500003889,6,
45643,55.75787309999578,520,
45644,55.758898000000045,1010,
45645,55.759929200052284,1011,
45646,55.76093630003743,1011,
45647,55.761467000003904,1011,
45648,55.762528000050224,1011,
45649,55.765207200020086,1011,
45650,55.76610370003618,914,
45651,55.76698250003392,5,
45652,55.76875540002948,6,
45653,55.769724200014025,5,
45654,55.77061980002327,5,
45655,55.77336000005016,5,
45656,55.77439780003624,6,
45657,55.77531460003229,6,
45658,55.77626790001523,5,
45659,55.7779986000387,477,
45660,55.778894899995066,1011,
45661,55.779860500013456,1011,
45662,55.78112450003391,1011,
45663,55.78206640004646,1011,
45664,55.78299820004031,1011,
45665,55.785169500042684,1011,
45666,55.78609020001022,977,
45667,55.78698970004916,112,
45668,55.7881905999966,5,
45669,55.789520400052425,5,
45670,55.79046210000524,5,
45671,55.79151820001425,4,
45672,55.79335940000601,6,
45673,55.79423050000332,5,
45674,55.795114500040654,6,
45675,55.79605900001479,376,
45676,55.79763260000618,1010,
45677,55.798626800009515,1011,
45678,55.79950610001106,1011,
45679,55.80207470001187,1011,
45680,55.80302210000809,1011,
45681,55.80401140003232,1011,
45682,55.80662500002654,1007,
45683,55.80769250000594,245,
45684,55.80865530000301,6,
45685,55.81011540000327,6,
45686,55.8109492000076,5,
45687,55.811481500044465,5,
45688,55.81248399999458,5,
45689,55.813985500019044,5,
45690,55.81485710002016,6,
45691,55.81576480000513,359,
45692,55.81828430003952,1011,
45693,55.8191705000354,1011,
45694,55.820142600045074,1011,
45695,55.82256540004164,1011,
45696,55.823780000035185,1011,
45697,55.824792100000195,1011,
45698,55.8274725000374,1010,
45699,55.828503100026865,322,
45700,55.82947460003197,6,
45701,55.83052330004284,5,
45702,55.83156720001716,5,
45703,55.83257530000992,5,
45704,55.833457400032785,5,
45705,55.83444960002089,5,
45706,55.83532960002776,6,
45707,55.83620100002736,333,
45708,55.8386518000043,1011,
45709,55.84019100002479,1011,
45710,55.84173000004375,1011,
45711,55.842759100021794,1011,
45712,55.84363710001344,1011,
45713,55.844578900025226,1011,
45714,55.846576200041454,1009,
45715,55.847489000007045,260,
45716,55.84852620004676,5,
45717,55.84940639999695,5,
45718,55.85094790003495,5,
45719,55.85148070001742,5,
45720,55.852556900004856,5,
45721,55.853202200029045,6,
45722,55.85522570001194,6,
45723,55.856340800004546,274,
45724,55.85737090004841,1011,
45725,55.85911489999853,1011,
45726,55.86022860003868,1011,
45727,55.861257900018245,1011,
45728,55.863536400021985,1011,
45729,55.86446510005044,1011,
45730,55.86548030003905,1007,
45731,55.86750000005122,213,
45732,55.86846740002511,5,
45733,55.86942570004612,5,
45734,55.87113149999641,5,
45735,55.87221490003867,5,
45736,55.87346470000921,5,
45737,55.87469880003482,6,
45738,55.8757216000231,6,
45739,55.876750399998855,275,
45740,55.8777006000164,1010,
45741,55.87953670002753,1011,
45742,55.880546000029426,1011,
45743,55.88211390003562,1011,
45744,55.883734600036405,1011,
45745,55.88471589999972,1011,
45746,55.885657600010745,1010,
45747,55.88761970004998,367,
45748,55.88926240004366,6,
45749,55.89064729999518,5,
45750,55.891678300045896,5,
45751,55.892735500005074,5,
45752,55.89331460004905,5,
45753,55.89440270001069,5,
45754,55.895969600009266,5,
45755,55.8970660000341,364,
45756,55.89796140004182,1010,
45757,55.8999199999962,1011,
45758,55.90088990004733,1011,
45759,55.90139690000797,1011,
45760,55.90400890004821,1011,
45761,55.905524000001606,1011,
45762,55.90658110001823,1003,
45763,55.907813300029375,202,
45764,55.90884000004735,5,
45765,55.909881600004155,5,
45766,55.91073810000671,5,
45767,55.91235530003905,5,
45768,55.91333210002631,5,
45769,55.91423490003217,5,
45770,55.91511130001163,6,
45771,55.91668540000683,275,
45772,55.91756620001979,1010,
45773,55.91858360002516,1011,
45774,55.92063230002532,1011,
45775,55.92165130004287,1011,
45776,55.92320070002461,1011,
45777,55.92472840001574,1011,
45778,55.925950500008184,1008,
45779,55.92688179999823,238,
45780,55.92880090000108,5,
45781,55.92970320000313,5,
45782,55.93073110003024,5,
45783,55.931740100029856,5,
45784,55.932837900007144,5,
45785,55.93368890002603,5,
45786,55.934653000032995,6,
45787,55.93697450001491,257,
45788,55.938108500035014,1010,
45789,55.939555899996776,1011,
45790,55.94158939999761,1011,
45791,55.94269330002135,1011,
45792,55.943680400028825,1011,
45793,55.94553820003057,1011,
45794,55.94644700002391,1010,
45795,55.9473624000093,616,
45796,55.94827069999883,6,
45797,55.94928670005174,5,
45798,55.9502001000219,5,
45799,55.95102650002809,5,
45800,55.95353980001528,5,
45801,55.95468530000653,6,
45802,55.9557177000097,5,
45803,55.957261400006246,208,
45804,55.95828760002041,1011,
45805,55.95880930003477,1011,
45806,55.96130940003786,1011,
45807,55.962248800031375,1011,
45808,55.96334690001095,1011,
45809,55.965316999994684,1011,
45810,55.96622410003329,1011,
45811,55.96720650000498,371,
45812,55.96814470004756,6,
45813,55.969782200001646,5,
45814,55.97069010004634,5,
45815,55.972236600006,5,
45816,55.973511400050484,5,
45817,55.97453130001668,6,
45818,55.975539200007915,5,
45819,55.97601640003268,242,
45820,55.97815969999647,1011,
45821,55.97906810004497,1011,
45822,55.980006400030106,1011,
45823,55.98251330002677,1011,
45824,55.983685500046704,1011,
45825,55.98477730003651,1011,
45826,55.98603450000519,1010,
45827,55.98682150000241,482,
45828,55.98801050003385,6,
45829,55.9900009999983,5,
45830,55.990935200010426,5,
45831,55.99218430003384,5,
45832,55.99317060003523,5,
45833,55.99410110001918,6,
45834,55.99500550003722,6,
45835,55.996039999998175,274,
45836,55.998719200026244,1010,
45837,55.99976330000209,1011,
45838,56.00070620002225,1011,
45839,56.00284280005144,1011,
